Echelon Equity DCF Model Template
,,,,
ASSUMPTIONS,,,,
Discount Rate (WACC),0.10,,,
Terminal Growth Rate,0.025,,,
Forecast Years,5,,,
,,,,
INCOME STATEMENT FORECAST ($ millions),,,,
Year,0,1,2,3,4,5
Revenue,100.0,110.0,121.0,133.1,146.4,161.0
Revenue Growth,,10.0%,10.0%,10.0%,10.0%,10.0%
COGS,60.0,66.0,72.6,79.9,87.9,96.7
Gross Margin,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%
Operating Expenses,25.0,27.5,30.3,33.3,36.6,40.3
EBIT,15.0,16.5,18.2,20.0,22.0,24.2
EBIT Margin,15.0%,15.0%,15.0%,15.0%,15.0%,15.0%
Tax Rate,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
NOPAT,11.3,12.4,13.6,15.0,16.5,18.2
,,,,
FREE CASH FLOW CALCULATION,,,,
Year,0,1,2,3,4,5
NOPAT,11.3,12.4,13.6,15.0,16.5,18.2
Plus: Depreciation & Amortization,5.0,5.5,6.1,6.7,7.3,8.1
Less: Capital Expenditures,8.0,8.8,9.7,10.7,11.7,12.9
Less: Change in Working Capital,2.0,2.2,2.4,2.7,2.9,3.2
Free Cash Flow,6.3,6.9,7.6,8.4,9.2,10.2
,,,,
WACC CALCULATION,,,,
Cost of Equity,12.0%,,
Cost of Debt,6.0%,,
Tax Rate,25.0%,,
After-tax Cost of Debt,4.5%,,
Equity Weight,70.0%,,
Debt Weight,30.0%,,
WACC,9.8%,,
,,,,
TERMINAL VALUE,,,,
Year 5 FCF,10.2,,
Terminal Growth Rate,2.5%,,
Terminal Value (TV),421.7,,
PV of TV,266.8,,
,,,,
VALUATION SUMMARY,,,,
PV of FCF (Years 1-5),33.2,,
PV of Terminal Value,266.8,,
Enterprise Value,300.0,,
Less: Net Debt,50.0,,
Equity Value,250.0,,
Shares Outstanding,10.0,,
Share Price,$25.00,,
Current Price,$20.00,,
Upside/Downside,25.0%,,
,,,,
SENSITIVITY ANALYSIS,,,,
WACC / Terminal Growth,2.0%,2.5%,3.0%
8.0%,$28.50,$31.20,$34.10
9.0%,$25.80,$28.10,$30.60
10.0%,$23.40,$25.50,$27.70
11.0%,$21.30,$23.30,$25.30
12.0%,$19.50,$21.40,$23.30
